"","position","team","round"
"425",5,"athletico-paranaense",22
"426",6,"internacional",22
"427",7,"atletico-mineiro",22
"428",8,"america-mineiro",22
"429",9,"red-bull-bragantino",22
"430",10,"santos",22
"431",11,"sao-paulo",22
"432",12,"botafogo",22
"433",13,"goias",22
"434",14,"ceara",22
"435",15,"fortaleza",22
"436",16,"cuiaba",22
"437",17,"avai",22
"438",18,"coritiba",22
"439",19,"atletico-goianiense",22
"440",20,"juventude",22
"441",1,"palmeiras",23
"442",2,"fluminense",23
"443",3,"flamengo",23
"444",4,"corinthians",23
"445",5,"internacional",23
"446",6,"athletico-paranaense",23
"447",7,"atletico-mineiro",23
"448",8,"santos",23
"449",9,"america-mineiro",23
"450",10,"red-bull-bragantino",23
"451",11,"goias",23
"452",12,"sao-paulo",23
"453",13,"fortaleza",23
"454",14,"botafogo",23
"455",15,"ceara",23
"456",16,"cuiaba",23
"457",17,"avai",23
"458",18,"coritiba",23
"459",19,"atletico-goianiense",23
"460",20,"juventude",23
"461",1,"palmeiras",24
"462",2,"flamengo",24
"463",3,"fluminense",24
"464",4,"corinthians",24
"465",5,"internacional",24
"466",6,"athletico-paranaense",24
"467",7,"atletico-mineiro",24
"468",8,"santos",24
"469",9,"america-mineiro",24
"470",10,"goias",24
"471",11,"red-bull-bragantino",24
"472",12,"fortaleza",24
"473",13,"sao-paulo",24
"474",14,"botafogo",24
"475",15,"ceara",24
"476",16,"coritiba",24
"477",17,"cuiaba",24
"478",18,"avai",24
"479",19,"atletico-goianiense",24
"480",20,"juventude",24
"481",1,"palmeiras",25
"482",2,"flamengo",25
"483",3,"corinthians",25
"484",4,"internacional",25
"485",5,"fluminense",25
"486",6,"athletico-paranaense",25
"487",7,"atletico-mineiro",25
"488",8,"america-mineiro",25
"489",9,"goias",25
"490",10,"santos",25
"491",11,"red-bull-bragantino",25
"492",12,"fortaleza",25
"493",13,"botafogo",25
"494",14,"sao-paulo",25
"495",15,"ceara",25
"496",16,"cuiaba",25
"497",17,"coritiba",25
"498",18,"avai",25
"499",19,"atletico-goianiense",25
"500",20,"juventude",25
"501",1,"palmeiras",26
"502",2,"internacional",26
"503",3,"flamengo",26
"504",4,"fluminense",26
"505",5,"corinthians",26
"506",6,"athletico-paranaense",26
"507",7,"atletico-mineiro",26
"508",8,"america-mineiro",26
"509",9,"goias",26
"510",10,"santos",26
"511",11,"red-bull-bragantino",26
"512",12,"botafogo",26
"513",13,"sao-paulo",26
"514",14,"ceara",26
"515",15,"fortaleza",26
"516",16,"coritiba",26
"517",17,"cuiaba",26
"518",18,"avai",26
"519",19,"atletico-goianiense",26
"520",20,"juventude",26
"521",1,"palmeiras",27
"522",2,"internacional",27
"523",3,"fluminense",27
"524",4,"flamengo",27
"525",5,"corinthians",27
"526",6,"athletico-paranaense",27
"527",7,"atletico-mineiro",27
"528",8,"america-mineiro",27
"529",9,"goias",27
"530",10,"botafogo",27
"531",11,"santos",27
"532",12,"red-bull-bragantino",27
"533",13,"sao-paulo",27
"534",14,"fortaleza",27
"535",15,"ceara",27
"536",16,"coritiba",27
"537",17,"avai",27
"538",18,"cuiaba",27
"539",19,"atletico-goianiense",27
"540",20,"juventude",27
"541",1,"palmeiras",28
"542",2,"fluminense",28
"543",3,"internacional",28
"544",4,"corinthians",28
"545",5,"flamengo",28
"546",6,"athletico-paranaense",28
"547",7,"atletico-mineiro",28
"548",8,"america-mineiro",28
"549",9,"botafogo",28
"550",10,"santos",28
"551",11,"goias",28
"552",12,"sao-paulo",28
"553",13,"red-bull-bragantino",28
"554",14,"fortaleza",28
"555",15,"coritiba",28
"556",16,"ceara",28
"557",17,"cuiaba",28
"558",18,"avai",28
"559",19,"atletico-goianiense",28
"560",20,"juventude",28
"561",1,"palmeiras",29
"562",2,"internacional",29
"563",3,"fluminense",29
"564",4,"corinthians",29
"565",5,"flamengo",29
"566",6,"athletico-paranaense",29
"567",7,"atletico-mineiro",29
"568",8,"america-mineiro",29
"569",9,"sao-paulo",29
"570",10,"fortaleza",29
"571",11,"botafogo",29
"572",12,"santos",29
"573",13,"goias",29
"574",14,"red-bull-bragantino",29
"575",15,"coritiba",29
"576",16,"ceara",29
"577",17,"cuiaba",29
"578",18,"avai",29
"579",19,"atletico-goianiense",29
"580",20,"juventude",29
"581",1,"palmeiras",30
"582",2,"internacional",30
"583",3,"fluminense",30
"584",4,"corinthians",30
"585",5,"flamengo",30
"586",6,"athletico-paranaense",30
"587",7,"atletico-mineiro",30
"588",8,"sao-paulo",30
"589",9,"america-mineiro",30
"590",10,"botafogo",30
"591",11,"fortaleza",30
"592",12,"red-bull-bragantino",30
"593",13,"goias",30
"594",14,"santos",30
"595",15,"ceara",30
"596",16,"coritiba",30
"597",17,"cuiaba",30
"598",18,"atletico-goianiense",30
